components of buildings,10,-0.74660226,0.663962386,0,1,"[10] Trombe Walls: consumption cooling buildings, keeping buildings cool, heat absorbed indoor"
,146,-0.843644392,0.668938108,0,1,"[146] Light Colored Cooling Roofs: efficiency cool roofs, benefits cool roofs, white roofs cool"
,213,-1.081083643,0.46538617,0,1,"[213] Porous Polymer: coating cool buildings, keeping buildings cool, reduce temperature buildings"
,222,-1.02289094,0.521510114,0,1,"[222] Transparent Radiative Cooler: coating cool buildings, architectural cooling, researchers design cooling"
digital techniques,239,0.889976882,-0.212535161,1,2,"[239] Digital Technologies: digitalisation improve energy, home energy efficient, wall energy saving"
,241,1.341896002,-0.020286293,1,1,"[241] ChotuKool: frugal innovation chotukool, environment circular economyin, ecological design yeang"
,248,0.920201714,0.103532102,1,1,"[248] Circular Economy: environment circular economyin, ecological design yeang, cooling sustainable"
ice thermal storage,42,-0.363208103,-0.187910889,2,1,"[42] Ice Bank Energy Storage: ice bank technology, ice thermal storage, thermal energy storage"
,43,-0.66292938,-0.068827132,2,1,"[43] FAFCO: icestor thermal battery, thermal energy storage, ice thermal storage"
,44,-0.246292582,-0.292208868,2,1,"[44] Cryogel: ice thermal storage, thermal energy storage, icestor thermal battery"
,46,-0.526152887,-0.36666745,2,1,"[46] Viking Cold Solutions: energy storageviking cold, thermal energy storage, grid cold storage"
,156,-0.042140183,-0.456138041,2,1,"[156] Aquifer Thermal Energy Storage (ATES): thermal energy storage, ice thermal storage, icestor thermal battery"
,242,-0.019258598,-0.615831454,2,1,"[242] Elastocaloric Cooling: elastocaloric heat pump, thermal energy storage, cooling device sustainable"
policy related,118,-0.8642469,-0.670123205,3,2,"[118] Recruiting Chief Heat Officers: chief heat officers, heat mitigation outreach, gov heat islands"
,131,-1.383105559,-0.206670691,3,2,"[131] Scale up Heat Mitigation and Resiliency Programs: heat mitigation outreach, heat resilience project, heat resilience alliance"
,158,-0.756479647,-0.784899804,3,2,"[158] Education and Awareness Campaigns: pakistan extreme heat, extreme heat mortality, heat mitigation outreach"
,167,-0.615071473,-0.283976467,3,2,"[167] Simple-Low-Budget Steps: urban heat community, heat mitigation outreach, heat vulnerable communities"
,227,-0.507169971,-0.54506329,3,2,"[227] Launching a Heat Mitigation Program: urban heat community, heat mitigation outreach, heat vulnerable communities"
,237,-0.988244373,-0.559821576,3,2,"[237] Reduce Energy Poverty: cooling sustainable, climate friendly cooling, heat mitigation outreach"
community & climate change,6,0.72225073,-0.354128167,4,2,"[6] Masdar City: dhabi reduce emissions, weather abu dhabi, assessment climate change"
,7,1.278034989,-0.812647103,4,2,"[7] Paris Climate Plan: nations paris agreementclimate, assessment climate change, climate crisis cop28"
,55,0.521388017,-0.505853364,4,2,"[55] The Heat Island Group's Green Roofs: assessment climate change, climate change singaporesingapore, climate crisis cop28"
,64,0.521388017,-0.505853364,4,2,"[64] Roof Pond: assessment climate change, climate change singaporesingapore, climate crisis cop28"
,66,0.521388017,-0.505853364,4,2,"[66] Moroccan Riads: assessment climate change, climate change singaporesingapore, climate crisis cop28"
,67,0.521388017,-0.505853364,4,2,"[67] Iranian Windcatchers: assessment climate change, climate change singaporesingapore, climate crisis cop28"
,96,0.521388017,-0.505853364,4,2,"[96] Solar Chimneys for Sustainable Cooling: assessment climate change, climate change singaporesingapore, climate crisis cop28"
,124,1.212315522,-0.792466887,4,2,"[124] Race to Resilience Campaign: race resilience campaign, heat resilience alliance, heat resilience project"
,138,1.372529601,-0.606062161,4,2,"[138] Capacity Development of Local Self-Governments for Disaster Risk Management: european disaster risk, heat vulnerable communities, assessment climate change"
,176,0.400994969,-0.303891252,4,2,"[176] Energy Communities Repository: doing energy communities, emissionsdata explorerthe energy, district energy sustainable"
,231,0.697360655,-0.468509238,4,2,"[231] Envelopes: emissionsdata explorerthe energy, doing energy communities, district energy sustainable"
straw,37,0.494518971,0.601314249,5,1,"[37] Straw Bale Buildings: straw bale buildersproviding, generously purpose building, home energy efficient"
new building construction,12,0.308141146,0.846600385,6,1,"[12] Marina One: nature built environment, ecological design yeang, environment circular economyin"
,20,0.823085555,0.83456424,6,1,"[20] Chitra Vishwanath Architects: chitra vishwanath architects, nature built environment, ecological design yeang"
,53,1.329100301,0.981076748,6,1,"[53] Roofmeadow's Green Roofs: landscape architecture master, nature built environment, generously purpose building"
,71,0.880219925,1.175275751,6,1,"[71] Brise soleil: generously purpose building, earth sheltered building, landscape architecture master"
,74,0.880219925,1.175275751,6,1,"[74] External shutters: generously purpose building, earth sheltered building, landscape architecture master"
,75,0.880219925,1.175275751,6,1,"[75] Solar shading: generously purpose building, earth sheltered building, landscape architecture master"
,90,1.183628017,0.791878497,6,1,"[90] The Algae Roof: structures angola, generously purpose building, cool buildings improved"
,101,0.706133878,0.59796438,6,1,"[101] Misting Systems for Greenhouses: miview projectsgrowspan greenhouse, green building programsgreen, homelondon roof gardens"
,111,0.963938044,0.478733847,6,2,"[111] Sponge Cities: chinese cities sponges, ecological design yeang, nature built environment"
